Date,Portfolio
2024-01-19,1.0049542893680519
2024-01-22,1.016258904219485
2024-01-23,1.0111973606644549
2024-01-24,0.9994776760871561
2024-01-25,1.005493414210663
2024-01-26,0.9969490516551279
2024-01-29,1.0095118331259767
2024-01-30,1.0073039727196436
2024-01-31,1.019962433476219
2024-02-01,1.0169410109501462
2024-02-02,1.0193815236133876
2024-02-05,1.0291684563833154
2024-02-06,1.026005537241334
2024-02-07,1.033312267043166
2024-02-08,1.01834419720908
2024-02-09,1.0144635200846617
2024-02-13,1.0282305105051224
2024-02-14,1.0094395084523977
2024-02-15,1.0067881750816599
2024-02-16,1.0172522818733818
2024-02-19,1.0426862449550316
2024-02-20,1.036051393422593
2024-02-21,1.0352628926727208
2024-02-22,1.0436853701911004
2024-02-26,1.0452309928153323
2024-02-27,1.0404411732239802
2024-02-28,1.047308250431505
2024-02-29,1.0445497733349125
2024-03-01,1.0455242089701018
2024-03-04,1.0335833620914772
2024-03-05,1.061470275038732
2024-03-06,1.070471339516033
2024-03-07,1.0703597752908696
2024-03-08,1.0948366404557228
2024-03-11,1.0697284395031417
2024-03-12,1.0735122751373851
2024-03-13,1.0638517801308043
2024-03-14,1.074108968416855
2024-03-15,1.08315032668264
2024-03-18,1.0879721108935203
2024-03-19,1.100577342229527
2024-03-21,1.1212865902986209
2024-03-22,1.1202460959954752
2024-03-25,1.1103950543102643
2024-03-26,1.1108687570493776
2024-03-27,1.114959800349085
2024-03-28,1.0732033681730773
2024-03-29,1.0893545525009554
2024-04-01,1.0704157719627545
2024-04-02,1.0587763601919589
2024-04-03,1.0566181836297919
2024-04-04,1.0615619910109158
2024-04-05,1.0585157546653137
2024-04-08,1.0639429113659975
2024-04-09,1.0673249229103392
2024-04-10,1.0698514064159668
2024-04-11,1.0658302486821132
2024-04-12,1.0662836698633975
2024-04-15,1.0698890597267243
2024-04-16,1.04722788375638
2024-04-17,1.0328269095552274
2024-04-18,1.0371106193941033
2024-04-19,1.0255916459886354
2024-04-22,1.0418999413830723
2024-04-23,1.0496692914245882
2024-04-24,1.0656958463179722
2024-04-25,1.0535664379472116
2024-04-26,1.0641198575339084
2024-04-30,1.0791699382216855
2024-05-01,1.0706213570129197
2024-05-02,1.0721939800280078
2024-05-07,1.071830284137129
2024-05-08,1.0633170633006614
2024-05-09,1.079652076612963
2024-05-10,1.0841269124549815
2024-05-13,1.0565075796719468
2024-05-14,1.0439389888202875
2024-05-15,1.0294266080161139
2024-05-16,1.0252580811125553
2024-05-17,1.0293487402965549
2024-05-20,1.0435682187230855
2024-05-21,1.0446750748024087
2024-05-22,1.0325398852518504
2024-05-23,1.0288677187791915
2024-05-24,1.0259819222611253
2024-05-27,1.0319535002048563
2024-05-28,1.0298374108404085
2024-05-29,1.020891593365089
2024-05-30,1.0216825595751657
2024-05-31,1.0332304742961653
2024-06-03,1.0415866653630548
2024-06-04,1.0383105598790134
2024-06-05,1.025453146457268
2024-06-06,1.0252035164852646
2024-06-07,1.022125901657283
2024-06-10,1.0338361284543556
2024-06-11,1.0333356246232956
2024-06-12,1.0312249988147284
2024-06-13,1.014718259466308
2024-06-14,1.027123085074201
2024-06-17,1.0142225241505811
2024-06-18,1.0160325386493445
2024-06-19,1.0272883340872125
2024-06-20,1.0284561983414962
2024-06-21,1.0304594755134755
2024-06-24,1.034641057315523
2024-06-25,1.0453494988453518
2024-06-26,1.0491367876150999
2024-06-27,1.0559792574751845
2024-06-28,1.0542842824954912
2024-07-01,1.0589736579954012
2024-07-02,1.0635172915293951
2024-07-03,1.073421242905239
2024-07-04,1.079670853713562
2024-07-05,1.06484132222322
2024-07-08,1.057690821392964
2024-07-09,1.058877247066256
2024-07-10,1.0595479918849613
2024-07-11,1.0667353382737346
2024-07-12,1.0690860657105172
2024-07-16,1.0740510936626975
2024-07-17,1.0866202197707975
2024-07-18,1.084523183983669
